semEpi;estadoIBGE;municipio;faixa_etaria;casos
1;AL;ARAPIRACA;70 anos e mais;4
1;AL;ARAPIRACA;sem informaç ;1
1;AL;ATALAIA;02 a 04 anos;1
1;AL;ATALAIA;sem informaç ;1
1;AL;BARRA DE SAO MIGUEL;40 a 59 anos;1
1;AL;CAMPO ALEGRE;20 a 39 anos;1
1;AL;CANAPI;60 a 69 anos;1
1;AL;CANAPI;70 anos e mais;1
1;AL;CRAIBAS;40 a 59 anos;1
1;AL;DOIS RIACHOS;40 a 59 anos;1
1;AL;ESTRELA DE ALAGOAS;20 a 39 anos;1
1;AL;GIRAU DO PONCIANO;20 a 39 anos;1
1;AL;INHAPI;20 a 39 anos;2
1;AL;INHAPI;40 a 59 anos;2
1;AL;INHAPI;60 a 69 anos;1
1;AL;JAPARATINGA;20 a 39 anos;1
1;AL;MACEIO;0 a 06 meses;1
1;AL;MACEIO;02 a 04 anos;1
1;AL;MACEIO;05 a 10 anos;1
1;AL;MACEIO;16 a 19 anos;2
1;AL;MACEIO;20 a 39 anos;11
1;AL;MACEIO;40 a 59 anos;18
1;AL;MACEIO;60 a 69 anos;1
1;AL;MACEIO;70 anos e mais;10
1;AL;MAJOR ISIDORO;20 a 39 anos;1
1;AL;MARAGOGI;20 a 39 anos;1
1;AL;MARAGOGI;60 a 69 anos;1
1;AL;MARECHAL DEODORO;60 a 69 anos;1
1;AL;PALMEIRA DOS INDIOS;0 a 06 meses;1
1;AL;PALMEIRA DOS INDIOS;05 a 10 anos;1
1;AL;PALMEIRA DOS INDIOS;16 a 19 anos;2
1;AL;PALMEIRA DOS INDIOS;20 a 39 anos;3
1;AL;PALMEIRA DOS INDIOS;40 a 59 anos;2
1;AL;PALMEIRA DOS INDIOS;70 anos e mais;1
1;AL;PASSO DE CAMARAGIBE;20 a 39 anos;1
1;AL;PORTO DE PEDRAS;11 a 15 anos;1
1;AL;PORTO DE PEDRAS;16 a 19 anos;3
1;AL;PORTO DE PEDRAS;20 a 39 anos;7
1;AL;PORTO DE PEDRAS;40 a 59 anos;4
1;AL;PORTO DE PEDRAS;60 a 69 anos;1
1;AL;PORTO DE PEDRAS;70 anos e mais;1
1;AL;RIO LARGO;05 a 10 anos;1
1;AL;RIO LARGO;40 a 59 anos;1
1;AL;SANTANA DO IPANEMA;07 meses a 01 ano;1
1;AL;SANTANA DO IPANEMA;20 a 39 anos;5
1;AL;SANTANA DO IPANEMA;40 a 59 anos;1
